date,department,expense_type,amount,employee,project,region,approval_status,empty_notes
2025-03-24,运营部,软件订阅,3365.15,员工078,客户增长,广州,已通过,
2025-07-18,市场部,培训费,14368.48,员工029,新产品推广,杭州,已拒绝,
2025-10-25,销售部,软件订阅,25077.48,员工038,渠道拓展,广州,已通过,
2025-05-09,财务部,广告投放,12341.00,员工019,品牌活动,北京,待审批,
2025-06-04,运营部,广告费,23240.71,员工036,品牌活动,深圳,待审批,
2025-06-03,研发部,咨询费,183.86,员工039,渠道拓展,成都,已拒绝,
2025-05-16,销售部,软件订阅,14530.20,员工045,内部系统升级,成都,待审批,
2025-01-21,财务部,办公用品,23389.91,员工031,渠道拓展,杭州,已通过,
2025-02-24,市场部,办公用品,26102.98,员工049,品牌活动,广州,待审批,
2025-10-29,销售部,软件订阅,25938.54,员工017,渠道拓展,成都,已通过,
2024-04-12,财务部,差旅费,14783.52,员工059,新产品推广,广州,已通过,
2025-11-01,销售部,差旅费,12681.02,员工034,内部系统升级,成都,已通过,
2025-10-27,市场部,咨询费,11600.51,员工069,品牌活动,深圳,已通过,
2025-05-14,人力资源部,差旅费,16641.38,员工031,内部系统升级,北京,已通过,
2025-03-20,市场部,咨询费,22236.11,员工013,品牌活动,北京,已通过,
2024-01-30,市场部,办公用品,22316.48,员工038,内部系统升级,深圳,已通过,
2024-09-07,人力资源部,软件订阅,15898.07,员工024,客户增长,北京,已通过,
2025-01-26,人力资源部,会议费,6560.96,员工075,客户增长,北京,已通过,
2024-09-17,财务部,办公用品,18711.52,员工060,内部系统升级,广州,已通过,
2024-03-16,财务部,办公用品,27655.73,员工039,品牌活动,广州,已通过,
2024-11-05,销售部,软件订阅,23910.99,员工014,客户增长,杭州,已通过,
2025-08-11,研发部,会议费,8016.99,员工051,内部系统升级,上海,已通过,
2025-12-03,运营部,差旅费,24487.68,员工064,内部系统升级,北京,已通过,
2024-12-26,销售部,会议费,5420.88,员工033,客户增长,广州,已通过,
2025-10-04,运营部,差旅费,8383.73,员工057,新产品推广,成都,已通过,
2024-05-14,市场部,办公用品,9228.93,员工054,客户增长,北京,已通过,
2025-07-06,研发部,培训费,13545.64,员工035,客户增长,深圳,待审批,
2025-05-08,研发部,会议费,23411.20,员工015,品牌活动,上海,已通过,
2024-08-19,运营部,会议费,18922.45,员工051,渠道拓展,深圳,已通过,
2025-02-08,市场部,办公用品,18849.55,员工059,内部系统升级,广州,已通过,
2024-09-25,人力资源部,软件订阅,23048.99,员工048,新产品推广,广州,已通过,
2024-01-26,人力资源部,培训费,9264.82,员工079,客户增长,广州,已通过,
2025-04-20,运营部,办公用品,17491.97,员工015,客户增长,上海,已拒绝,
2024-11-07,财务部,差旅费,"¥2,829.71",员工069,客户增长,杭州,已通过,
2025-11-17,运营部 ,会议费,25434.01,员工054,渠道拓展,广州,已通过,
2025-02-28,运营部,差旅费,22428.83,员工079,品牌活动,深圳,已通过,
2025-01-14,销售部,软件订阅,12017.40,员工031,内部系统升级,上海,已拒绝,
2025-01-11,人力资源部,会议费,,员工051,内部系统升级,北京,已拒绝,
2025-04-10,市场部,会议费,7541.89,员工077,新产品推广,上海,待审批,
2024-09-06,销售部,咨询费,15860.43,员工009,渠道拓展,北京,已通过,
2024-08-26,研发部,咨询费,"¥4,233.81",员工077,新产品推广,深圳,待审批,
2024-05-28,销售部,培训费,7108.24,员工023,新产品推广,广州,待审批,
2024-05-14,市场部,办公用品,22144.77,员工031,渠道拓展,深圳,已通过,
2024-09-28,市场部,广告投放,20799.10,员工068,新产品推广,广州,已通过,
2025-04-04,研发部,培训费,16004.55,员工058,渠道拓展,北京,已拒绝,
2024-02-14,运营部,咨询费,25456.00,员工067,内部系统升级,杭州,已通过,
2024-02-01,市场部,软件订阅,23742.68,员工055,新产品推广,杭州,已通过,
2025-03-30,市场部,差旅费,20476.08,员工019,新产品推广,北京,已通过,
2025-10-10,人力资源部,培训费,19175.83,员工049,渠道拓展,成都,已通过,
2025-06-01,人力资源部,软件订阅,2769.70,员工015,渠道拓展,广州,待审批,
2025-03-16,财务部,广告投放,11190.84,员工059,品牌活动,杭州,已通过,
2024-11-16,财务部,办公用品,18663.21,员工048,客户增长,广州,待审批,
2024-03-09,市场部,咨询费,2499.96,员工056,新产品推广,广州,已通过,
2024-05-13,人力资源部,差旅费,16470.65,员工072,渠道拓展,深圳,已通过,
2025-02-24,研发部,咨询费,17922.90,员工055,新产品推广,深圳,已通过,
2024-12-26,市场部,培训费,14266.66,员工020,品牌活动,北京,待审批,
2024-12-24,人力资源部,办公用品,3323.00,员工036,渠道拓展,北京,待审批,
2025-07-28,人力资源部,培训费,18180.82,员工072,新产品推广,成都,待审批,
2025-12-11,研发部,差旅费,4944.00,员工040,内部系统升级,深圳,已通过,
2024-05-26,人力资源部,会议费,11293.87,员工019,新产品推广,上海,已通过,
2024-08-08,财务部,软件订阅,12767.64,员工021,内部系统升级,深圳,已通过,
2025-08-04,人力资源部,差旅费,23757.68,员工020,客户增长,成都,已通过,
2024-03-24,研发部,软件订阅,18574.85,员工063,渠道拓展,杭州,已通过,
2024-08-08,人力资源部,差旅费,9743.42,员工015,内部系统升级,广州,已通过,
2025-05-13,人力资源部,会议费,8369.98,员工029,品牌活动,成都,已通过,
2024-07-28,研发部,广告投放,21513.70,员工033,内部系统升级,深圳,已通过,
2025-05-24,运营部,软件订阅,4817.64,员工049,渠道拓展,广州,已通过,
2025-07-26,运营部,咨询费,9594.41,员工051,新产品推广,杭州,已通过,
2024-03-20,研发部,培训费,12088.45,员工052,品牌活动,深圳,已通过,
2024-01-22,研发部,广告投放,22460.86,员工080,品牌活动,广州,待审批,
2024-03-31,财务部,咨询费,,员工056,渠道拓展,杭州,已通过,
2025-02-09,研发部,会议费,9202.20,员工043,客户增长,上海,已通过,
2024-04-26,人力资源部,培训费,5526.04,员工045,内部系统升级,广州,已拒绝,
2025/10/22,销售部,广告投放,2866.74,员工033,客户增长,北京,已通过,
2025-11-02,市场部,广告投放,59944.54,员工064,品牌活动,成都,已通过,
2025-04-04,运营部,培训费,17324.75,员工080,内部系统升级,广州,已通过,
2025-03-26,市场部,软件订阅,15560.95,员工039,内部系统升级,成都,已通过,
2025-06-03,市场部,办公用品,16241.72,员工005,新产品推广,深圳,待审批,
2024-03-19,运营部,咨询费,27369.03,员工012,渠道拓展,成都,已通过,
2025-04-18,人力资源部,培训费,25655.01,员工006,品牌活动,成都,已通过,
2024-11-25,人力资源部,软件订阅,14098.12,员工008,品牌活动,上海,待审批,
2024-12-17,运营部,差旅费,14186.83,员工023,新产品推广,北京,已通过,
2025-03-25,人力资源部,培训费,16436.52,员工047,内部系统升级,深圳,已通过,
2024-12-12,运营部,培训费,1579.95,员工043,新产品推广,深圳,已通过,
2025-11-25,财务部,办公用品,6859.81,员工078,客户增长,深圳,已通过,
2025-11-10,销售部,办公用品,8418.49,员工051,客户增长,成都,已通过,
2024-03-27,研发部,培训费,10621.82,员工043,客户增长,广州,已通过,
2025-12-02,人力资源部,差旅费,17405.92,员工055,渠道拓展,深圳,已通过,
2024-11-12,销售部,广告投放,9647.50,员工063,客户增长,北京,已拒绝,
2024-06-07,市场部,办公用品,23662.66,员工013,渠道拓展,成都,待审批,
2025-06-23,市场部,会议费,11886.24,员工080,客户增长,成都,已通过,
2024-06-15,销售部,咨询费,19436.54,员工080,客户增长,广州,已通过,
2025-02-24,研发部,会议费,19374.77,员工057,渠道拓展,深圳,已通过,
2025-04-04,销售部,培训费,6516.50,员工061,客户增长,深圳,已通过,
2025-08-07,财务部,软件订阅,20709.07,员工049,渠道拓展,成都,已通过,
2024-06-14,销售部,咨询费,16978.02,员工033,新产品推广,广州,已通过,
2025-01-15,人力资源部,差旅费,19155.71,员工067,新产品推广,深圳,已通过,
2024-06-13,研发部,软件订阅,25359.94,员工019,品牌活动,上海,已拒绝,
2024-08-15,财务部,办公用品,26061.56,员工054,新产品推广,杭州,已通过,
2024-08-29,财务部,差旅费,10572.57,员工004,内部系统升级,上海,待审批,
2025-10-27,研发部,咨询费,4024.18,员工005,内部系统升级,杭州,已通过,
2024-05-22,运营部,软件订阅,12627.01,员工001,新产品推广,上海,已通过,
2024-06-02,人力资源部,会议费,17095.58,员工055,新产品推广,深圳,已通过,
2024-05-04,市场部,广告投放,11824.74,员工080,品牌活动,上海,已通过,
2025-05-26,人力资源部,培训费,555.09,员工066,渠道拓展,北京,已通过,
2024-10-25,财务部,差旅费,17260.89,员工031,渠道拓展,杭州,已通过,
2025-11-15,市场部,培训费,34116.71,员工009,渠道拓展,成都,已通过,
2025-06-03,人力资源部,差旅费,10565.62,员工061,新产品推广,广州,已通过,
2025-01-17,研发部,会议费,549.92,员工009,内部系统升级,北京,已通过,
2025-10-05,市场部,咨询费,20429.32,员工043,客户增长,上海,已通过,
2024-12-12,运营部,广告投放,23271.10,员工060,品牌活动,广州,已通过,
2024-05-18,市场部,会议费,21760.19,员工059,新产品推广,深圳,已通过,
2024-07-23,市场部,办公用品,26142.38,员工066,品牌活动,成都,已通过,
2024-02-07,运营部,广告投放,8096.77,员工007,内部系统升级,深圳,已通过,
2025-01-11,财务部,软件订阅,"¥20,009.68",员工050,内部系统升级,北京,已通过,
2025-05-24,研发部,咨询费,14013.51,员工011,品牌活动,上海,已通过,
2024-07-03,人力资源部,办公用品,9075.37,员工011,内部系统升级,广州,已通过,
2025-04-01,人力资源部,会议费,11520.12,员工057,内部系统升级,杭州,已通过,
2024-12-27,人力资源部,软件订阅,7774.60,员工008,新产品推广,广州,已通过,
2025-01-07,人力资源部,咨询费,20186.07,员工021,新产品推广,北京,待审批,
2025-11-25,财务部,差旅费,3493.72,员工031,内部系统升级,深圳,已通过,
2025-08-03,市场部,培训费,5497.32,员工058,内部系统升级,深圳,已通过,
2024-03-19,人力资源部,广告投放,14881.34,员工051,内部系统升级,广州,已通过,
2024-04-26,市场部,会议费,5307.02,员工067,品牌活动,成都,已通过,
2024-09-23,运营部,软件订阅,6102.22,员工079,内部系统升级,广州,待审批,
2025-05-17,销售部,差旅费,3747.95,员工010,品牌活动,北京,待审批,
2025-03-31,市场部,咨询费,23915.24,员工041,内部系统升级,广州,已通过,
2025-07-09,研发部,办公用品,22901.73,员工023,内部系统升级,成都,已通过,
2024-07-24,销售部,广告投放,22155.60,员工004,内部系统升级,成都,已通过,
2025-04-23,人力资源部,广告投放,16493.88,员工012,新产品推广,深圳,已通过,
2025-05-05,人力资源部,软件订阅, 20701.74 ,员工074,新产品推广,北京,已拒绝,
2025-10-19,市场部,软件订阅,16384.29,员工067,内部系统升级,北京,待审批,
2025/07/18,运营部,培训费,4985.40,员工017,品牌活动,成都,待审批,
2024-02-26,市场部,培训费,4386.07,员工022,客户增长,深圳,待审批,
2024-08-18,研发部,培训费,25070.53,员工011,内部系统升级,北京,已通过,
2025-07-18,研发部,广告投放,16843.80,员工079,渠道拓展,上海,已通过,
2024-06-21,人力资源部,培训费,4418.94,员工080,渠道拓展,深圳,待审批,
2025-07-31,市场部,咨询费,30252.78,员工011,新产品推广,广州,待审批,
2024-09-28,运营部,广告投放,21502.82,员工054,渠道拓展,广州,已通过,
2025-10-04,人力资源部,办公用品,17295.72,员工039,品牌活动,北京,待审批,
2025-12-02,财务部,办公用品,12254.22,员工008,客户增长,杭州,已通过,
2025-04-20,销售部,办公用品,16352.34,员工041,内部系统升级,广州,已拒绝,
2024-12-19,财务部,广告投放,21327.34,员工066,渠道拓展,上海,已通过,
2025-04-22,市场部,办公用品,15818.42,员工019,新产品推广,上海,已通过,
2025-01-28,人力资源部,软件订阅,6760.11,员工021,内部系统升级,成都,已通过,
2024-07-13,销售部,软件订阅,"¥27,887.63",员工060,品牌活动,深圳,已通过,
2024-04-02,财务部,培训费,12867.59,员工031,客户增长,成都,已通过,
2024-02-21,研发部,软件订阅,16778.82,员工061,内部系统升级,成都,已通过,
2024-04-20,财务部,广告投放,24722.87,员工047,品牌活动,深圳,已通过,
2024-02-22,人力资源部,培训费,5546.99,员工071,内部系统升级,上海,已通过,
2025-04-06,人力资源部,办公用品,22204.49,员工080,渠道拓展,上海,已通过,
2024-04-09,财务部,办公用品,22281.73,员工044,渠道拓展,深圳,已通过,
2024-07-22,人力资源部,培训费,11310.67,员工006,新产品推广,上海,已通过,
2024-12-07,财务部,培训费,12860.84,员工078,渠道拓展,北京,已通过,
2025-09-19,研发部,广告投放,10632.55,员工079,内部系统升级,成都,已通过,
2025-06-05,人力资源部,软件订阅,19084.48,员工039,品牌活动,上海,已通过,
2025-11-20,市场部,软件订阅,20492.02,员工004,渠道拓展,杭州,已通过,
2025-11-02,人力资源部 ,培训费,6205.35,员工007,渠道拓展,杭州,已通过,
2025-10-06,运营部,培训费,20847.38,员工049,客户增长,广州,已通过,
2025-08-09,运营部,差旅费,5221.51,员工057,内部系统升级,杭州,已通过,
2025-12-08,销售部,软件订阅,13546.30,员工079,品牌活动,广州,已通过,
2025-12-23,销售部,培训费,5664.66,员工042,品牌活动,成都,已通过,
2024-06-26,财务部,培训费,9664.08,员工046,内部系统升级,成都,已通过,
2024-09-09,研发部,培训费,8442.16,员工039,内部系统升级,广州,已通过,
2025-12-22,财务部,办公用品,12957.04,员工072,内部系统升级,深圳,已通过,
2025-11-23,人力资源部,软件订阅,24090.05,员工051,内部系统升级,北京,已通过,
2024-10-21,运营部,差旅费,9776.61,员工057,内部系统升级,广州,已通过,
2024-07-25,人力资源部,办公用品,26132.71,员工035,客户增长,上海,已通过,
2025-08-23,销售部,广告投放,1473.93,员工068,客户增长,广州,已通过,
2024-04-12,财务部,办公用品,20119.94,员工013,客户增长,上海,已拒绝,
2024-06-10,财务部,会议费,26188.69,员工061,品牌活动,广州,已通过,
2024-10-21,研发部,办公用品,18127.63,员工012,渠道拓展,北京,已通过,
2024-02-08,销售部,软件订阅,24716.99,员工023,新产品推广,杭州,待审批,
2024-07-09,运营部,咨询费,25937.99,员工005,新产品推广,深圳,已通过,
2024-04-19,研发部,办公用品,12787.25,员工070,渠道拓展,杭州,待审批,
2024-05-17,人力资源部,软件订阅,7726.70,员工015,内部系统升级,北京,已通过,
2025-10-25,研发部,会议费,5098.78,员工044,内部系统升级,成都,已通过,
2024-07-16,销售部,培训费,23989.36,员工052,品牌活动,成都,已通过,
2025/02/14,运营部,差旅费,5060.83,员工018,品牌活动,深圳,待审批,
2024-01-07,研发部,软件订阅,6686.33,员工035,内部系统升级,深圳,已通过,
2025-08-09,市场部,办公用品,22930.86,员工031,新产品推广,广州,已通过,
2024-11-10,销售部,软件订阅,19247.73,员工040,新产品推广,广州,待审批,
2024-10-29,研发部,培训费,6277.28,员工018,品牌活动,北京,已通过,
2025-09-12,研发部,软件订阅,18902.51,员工061,渠道拓展,广州,待审批,
2024-09-10,运营部,咨询费,16731.31,员工011,渠道拓展,杭州,已通过,
2025-01-05,市场部,培训费,4060.48,员工071,渠道拓展,北京,已通过,
2024-06-02,销售部,办公用品,23943.07,员工057,新产品推广,广州,已通过,
2025-08-20,财务部,差旅费,24173.80,员工058,新产品推广,杭州,已通过,
2025-03-01,财务部,培训费,1660.51,员工060,内部系统升级,广州,已通过,
2024-09-17,市场部,会议费,6195.09,员工010,新产品推广,杭州,已通过,
2024-03-06,人力资源部,差旅费,26176.17,员工009,品牌活动,上海,已通过,
2024-07-03,销售部,咨询费,18005.72,员工054,内部系统升级,杭州,已通过,
2025-01-21,财务部,差旅费,18388.34,员工070,客户增长,广州,待审批,
2024-05-01,销售部,培训费,11078.47,员工017,客户增长,上海,已通过,
2024-11-01,财务部,会议费,20168.34,员工055,渠道拓展,杭州,待审批,
2024-09-10,财务部,办公用品,4444.78,员工025,新产品推广,上海,待审批,
2025-03-05,人力资源部,咨询费,25173.42,员工003,客户增长,北京,已通过,
2025-08-31,市场部,软件订阅,20982.80,员工007,客户增长,广州,已通过,
2025-03-25,销售部,培训费,5930.37,员工008,客户增长,成都,已拒绝,
2024-08-27,运营部,培训费,9011.04,员工077,内部系统升级,北京,已通过,
2024-05-26,运营部,培训费, 6282.67 ,员工039,内部系统升级,上海,已通过,
2025-08-28,运营部,广告投放,16869.78,员工055,渠道拓展,杭州,已通过,
2024-12-18,运营部,会议费,10746.59,员工068,内部系统升级,广州,已通过,
2024-06-01,研发部,软件订阅,5246.55,员工069,品牌活动,北京,待审批,
2024-11-03,运营部,广告投放,22585.04,员工008,渠道拓展,杭州,已拒绝,
2025-07-24,人力资源部,广告投放,10511.16,员工033,客户增长,深圳,已通过,
2025-04-05,研发部,差旅费,14451.38,员工025,新产品推广,深圳,已通过,
2025-09-11,人力资源部,差旅费, 23497.48 ,员工025,渠道拓展,广州,已通过,
2024-08-10,财务部,广告投放,24360.93,员工043,内部系统升级,上海,已通过,
2024-07-13,运营部,差旅费,20942.99,员工062,客户增长,广州,已通过,
2024-07-28,财务部,广告投放,15511.97,员工037,品牌活动,杭州,已通过,
2025-01-02,研发部,办公用品,9741.01,员工064,品牌活动,上海,待审批,
2025-04-25,研发部,广告投放,10037.04,员工053,新产品推广,成都,待审批,
2024-05-29,市场部,办公用品,15546.33,员工075,渠道拓展,广州,已通过,
2024-06-05,销售部,办公用品,6532.92,员工073,客户增长,杭州,已通过,
2025-12-02,研发部,办公用品,20546.39,员工063,品牌活动,杭州,已通过,
2024-12-26,销售部,广告投放,20202.34,员工063,客户增长,成都,已拒绝,
2024-03-01,人力资源部,差旅费,23513.23,员工010,新产品推广,上海,已通过,
2025-10-07,销售部,差旅费,19042.45,员工002,客户增长,成都,已通过,
2024-03-02,人力资源部,会议费,18709.12,员工079,品牌活动,广州,已通过,
2024-01-07,人力资源部,培训费,11588.12,员工003,渠道拓展,广州,已通过,
2024-10-20,市场部,培训费,22790.82,员工056,客户增长,上海,待审批,
2025-06-20,销售部,广告投放, 5252.23 ,员工068,内部系统升级,深圳,已通过,
